"","state_one","state_two","mask_mandates_overLap"
"981","ND","OR",130
"982","ND","PA",57
"983","ND","RI",76
"984","ND","SC",218
"985","ND","SD",218
"986","ND","TN",218
"987","ND","TX",132
"988","ND","UT",235
"989","ND","VA",97
"990","ND","VT",161
"991","ND","WA",125
"992","ND","WI",161
"993","ND","WV",136
"994","ND","WY",218
"995","NE","NH",224
"996","NE","NJ",0
"997","NE","NM",35
"998","NE","NV",75
"999","NE","NY",7
"1000","NE","OH",104
"1001","NE","OK",266
"1002","NE","OR",82
"1003","NE","PA",9
"1004","NE","RI",28
"1005","NE","SC",266
"1006","NE","SD",266
"1007","NE","TN",266
"1008","NE","TX",84
"1009","NE","UT",187
"1010","NE","VA",49
"1011","NE","VT",113
"1012","NE","WA",77
"1013","NE","WI",113
"1014","NE","WV",88
"1015","NE","WY",266
"1016","NH","NJ",42
"1017","NH","NM",77
"1018","NH","NV",117
"1019","NH","NY",49
"1020","NH","OH",146
"1021","NH","OK",224
"1022","NH","OR",124
"1023","NH","PA",51
"1024","NH","RI",70
"1025","NH","SC",224
"1026","NH","SD",224
"1027","NH","TN",224
"1028","NH","TX",126
"1029","NH","UT",229
"1030","NH","VA",91
"1031","NH","VT",155
"1032","NH","WA",119
"1033","NH","WI",155
"1034","NH","WV",130
"1035","NH","WY",224
"1036","NJ","NM",231
"1037","NJ","NV",191
"1038","NJ","NY",259
"1039","NJ","OH",162
"1040","NJ","OK",0
"1041","NJ","OR",184
"1042","NJ","PA",257
"1043","NJ","RI",238
"1044","NJ","SC",0
"1045","NJ","SD",0
"1046","NJ","TN",0
"1047","NJ","TX",182
"1048","NJ","UT",79
"1049","NJ","VA",217
"1050","NJ","VT",153
"1051","NJ","WA",189
"1052","NJ","WI",153
"1053","NJ","WV",178
"1054","NJ","WY",0
"1055","NM","NV",226
"1056","NM","NY",238
"1057","NM","OH",197
"1058","NM","OK",35
"1059","NM","OR",219
"1060","NM","PA",240
"1061","NM","RI",259
"1062","NM","SC",35
"1063","NM","SD",35
"1064","NM","TN",35
"1065","NM","TX",217
"1066","NM","UT",114
"1067","NM","VA",252
"1068","NM","VT",188
"1069","NM","WA",224
"1070","NM","WI",188
"1071","NM","WV",213
"1072","NM","WY",35
"1073","NV","NY",198
"1074","NV","OH",237
"1075","NV","OK",75
"1076","NV","OR",259
"1077","NV","PA",200
"1078","NV","RI",219
"1079","NV","SC",75
"1080","NV","SD",75
"1081","NV","TN",75
"1082","NV","TX",257
"1083","NV","UT",154
"1084","NV","VA",240
"1085","NV","VT",228
"1086","NV","WA",264
"1087","NV","WI",228
"1088","NV","WV",253
"1089","NV","WY",75
"1090","NY","OH",169
"1091","NY","OK",7
"1092","NY","OR",191
"1093","NY","PA",264
"1094","NY","RI",245
"1095","NY","SC",7
"1096","NY","SD",7
"1097","NY","TN",7
"1098","NY","TX",189
"1099","NY","UT",86
"1100","NY","VA",224
"1101","NY","VT",160
"1102","NY","WA",196
"1103","NY","WI",160
"1104","NY","WV",185
"1105","NY","WY",7
"1106","OH","OK",104
"1107","OH","OR",244
"1108","OH","PA",171
"1109","OH","RI",190
"1110","OH","SC",104
"1111","OH","SD",104
"1112","OH","TN",104
"1113","OH","TX",246
"1114","OH","UT",183
"1115","OH","VA",211
"1116","OH","VT",257
"1117","OH","WA",239
"1118","OH","WI",257
"1119","OH","WV",250
"1120","OH","WY",104
"1121","OK","OR",82
"1122","OK","PA",9
"1123","OK","RI",28
"1124","OK","SC",266
"1125","OK","SD",266
"1126","OK","TN",266
"1127","OK","TX",84
"1128","OK","UT",187
"1129","OK","VA",49
"1130","OK","VT",113
"1131","OK","WA",77
