"","state_one","state_two","stay_at_home_orders_overLap"
"1018","NH","NV",279
"1019","NH","NY",7
"1020","NH","OH",285
"1021","NH","OK",165
"1022","NH","OR",256
"1023","NH","PA",88
"1024","NH","RI",282
"1025","NH","SC",115
"1026","NH","SD",22
"1027","NH","TN",172
"1028","NH","TX",240
"1029","NH","UT",12
"1030","NH","VA",58
"1031","NH","VT",286
"1032","NH","WA",273
"1033","NH","WI",109
"1034","NH","WV",275
"1035","NH","WY",12
"1036","NJ","NM",1
"1037","NJ","NV",45
"1038","NJ","NY",6
"1039","NJ","OH",59
"1040","NJ","OK",66
"1041","NJ","OR",88
"1042","NJ","PA",210
"1043","NJ","RI",48
"1044","NJ","SC",185
"1045","NJ","SD",212
"1046","NJ","TN",124
"1047","NJ","TX",6
"1048","NJ","UT",212
"1049","NJ","VA",258
"1050","NJ","VT",58
"1051","NJ","WA",52
"1052","NJ","WI",209
"1053","NJ","WV",47
"1054","NJ","WY",212
"1055","NM","NV",238
"1056","NM","NY",1
"1057","NM","OH",232
"1058","NM","OK",157
"1059","NM","OR",203
"1060","NM","PA",40
"1061","NM","RI",238
"1062","NM","SC",91
"1063","NM","SD",71
"1064","NM","TN",159
"1065","NM","TX",275
"1066","NM","UT",36
"1067","NM","VA",1
"1068","NM","VT",232
"1069","NM","WA",224
"1070","NM","WI",53
"1071","NM","WV",243
"1072","NM","WY",1
"1073","NV","NY",7
"1074","NV","OH",278
"1075","NV","OK",165
"1076","NV","OR",249
"1077","NV","PA",92
"1078","NV","RI",289
"1079","NV","SC",128
"1080","NV","SD",31
"1081","NV","TN",185
"1082","NV","TX",253
"1083","NV","UT",12
"1084","NV","VA",54
"1085","NV","VT",279
"1086","NV","WA",269
"1087","NV","WI",101
"1088","NV","WV",280
"1089","NV","WY",16
"1090","NY","OH",7
"1091","NY","OK",74
"1092","NY","OR",7
"1093","NY","PA",14
"1094","NY","RI",7
"1095","NY","SC",7
"1096","NY","SD",7
"1097","NY","TN",7
"1098","NY","TX",7
"1099","NY","UT",7
"1100","NY","VA",7
"1101","NY","VT",7
"1102","NY","WA",22
"1103","NY","WI",7
"1104","NY","WV",7
"1105","NY","WY",7
"1106","OH","OK",164
"1107","OH","OR",263
"1108","OH","PA",84
"1109","OH","RI",281
"1110","OH","SC",114
"1111","OH","SD",25
"1112","OH","TN",171
"1113","OH","TX",239
"1114","OH","UT",8
"1115","OH","VA",54
"1116","OH","VT",291
"1117","OH","WA",277
"1118","OH","WI",109
"1119","OH","WV",280
"1120","OH","WY",8
"1121","OK","OR",135
"1122","OK","PA",115
"1123","OK","RI",165
"1124","OK","SC",87
