"","from","to","bars_overLap","width","title"
"287","CT","IN",1,0.01,"1 days shared in 2020"
"288","CT","KS",1,0.01,"1 days shared in 2020"
"289","CT","KY",15,0.15,"15 days shared in 2020"
"290","CT","LA",81,0.81,"81 days shared in 2020"
"291","CT","MA",284,2.84,"284 days shared in 2020"
"292","CT","MD",1,0.01,"1 days shared in 2020"
"293","CT","ME",1,0.01,"1 days shared in 2020"
"294","CT","MI",1,0.01,"1 days shared in 2020"
"295","CT","MN",85,0.85,"85 days shared in 2020"
"296","CT","MO",1,0.01,"1 days shared in 2020"
"297","CT","MS",1,0.01,"1 days shared in 2020"
"298","CT","MT",1,0.01,"1 days shared in 2020"
"299","CT","NC",200,2,"200 days shared in 2020"
"300","CT","ND",1,0.01,"1 days shared in 2020"
"301","CT","NE",1,0.01,"1 days shared in 2020"
"302","CT","NH",1,0.01,"1 days shared in 2020"
"303","CT","NJ",1,0.01,"1 days shared in 2020"
"304","CT","NM",156,1.56,"156 days shared in 2020"
"305","CT","NV",51,0.51,"51 days shared in 2020"
"306","CT","NY",1,0.01,"1 days shared in 2020"
"307","CT","OH",0,0,"0 days shared in 2020"
"308","CT","OK",1,0.01,"1 days shared in 2020"
"309","CT","OR",1,0.01,"1 days shared in 2020"
"310","CT","PA",1,0.01,"1 days shared in 2020"
"311","CT","RI",1,0.01,"1 days shared in 2020"
"312","CT","SC",1,0.01,"1 days shared in 2020"
"313","CT","SD",1,0.01,"1 days shared in 2020"
"314","CT","TN",1,0.01,"1 days shared in 2020"
"315","CT","TX",1,0.01,"1 days shared in 2020"
"316","CT","UT",1,0.01,"1 days shared in 2020"
"317","CT","VA",1,0.01,"1 days shared in 2020"
"318","CT","VT",1,0.01,"1 days shared in 2020"
"319","CT","WA",69,0.69,"69 days shared in 2020"
"320","CT","WI",4,0.04,"4 days shared in 2020"
"321","CT","WV",64,0.64,"64 days shared in 2020"
"322","CT","WY",1,0.01,"1 days shared in 2020"
"323","DE","FL",96,0.96,"96 days shared in 2020"
"324","DE","GA",215,2.15,"215 days shared in 2020"
"325","DE","HI",200,2,"200 days shared in 2020"
"326","DE","IA",285,2.85,"285 days shared in 2020"
"327","DE","ID",217,2.17,"217 days shared in 2020"
"328","DE","IL",285,2.85,"285 days shared in 2020"
"329","DE","IN",271,2.71,"271 days shared in 2020"
"330","DE","KS",54,0.54,"54 days shared in 2020"
"331","DE","KY",240,2.4,"240 days shared in 2020"
"332","DE","LA",109,1.09,"109 days shared in 2020"
"333","DE","MA",1,0.01,"1 days shared in 2020"
"334","DE","MD",280,2.8,"280 days shared in 2020"
"335","DE","ME",269,2.69,"269 days shared in 2020"
"336","DE","MI",272,2.72,"272 days shared in 2020"
"337","DE","MN",179,1.79,"179 days shared in 2020"
"338","DE","MO",68,0.68,"68 days shared in 2020"
"339","DE","MS",267,2.67,"267 days shared in 2020"
"340","DE","MT",270,2.7,"270 days shared in 2020"
"341","DE","NC",92,0.92,"92 days shared in 2020"
"342","DE","ND",89,0.89,"89 days shared in 2020"
"343","DE","NE",221,2.21,"221 days shared in 2020"
"344","DE","NH",268,2.68,"268 days shared in 2020"
"345","DE","NJ",263,2.63,"263 days shared in 2020"
"346","DE","NM",65,0.65,"65 days shared in 2020"
"347","DE","NV",225,2.25,"225 days shared in 2020"
"348","DE","NY",277,2.77,"277 days shared in 2020"
"349","DE","OH",284,2.84,"284 days shared in 2020"
"350","DE","OK",276,2.76,"276 days shared in 2020"
"351","DE","OR",269,2.69,"269 days shared in 2020"
"352","DE","PA",106,1.06,"106 days shared in 2020"
"353","DE","RI",278,2.78,"278 days shared in 2020"
"354","DE","SC",272,2.72,"272 days shared in 2020"
"355","DE","SD",1,0.01,"1 days shared in 2020"
"356","DE","TN",283,2.83,"283 days shared in 2020"
