"","state_one","state_two","gathering_bans_overLap"
"674","KY","NC",117
"675","KY","ND",27
"676","KY","NE",142
"677","KY","NH",52
"678","KY","NJ",5
"679","KY","NM",189
"680","KY","NV",75
"681","KY","NY",106
"682","KY","OH",185
"683","KY","OK",27
"684","KY","OR",71
"685","KY","PA",52
"686","KY","RI",38
"687","KY","SC",8
"688","KY","SD",27
"689","KY","TN",15
"690","KY","TX",154
"691","KY","UT",96
"692","KY","VA",20
"693","KY","VT",18
"694","KY","WA",223
"695","KY","WI",90
"696","KY","WV",30
"697","KY","WY",33
"698","LA","MA",58
"699","LA","MD",74
"700","LA","ME",115
"701","LA","MI",6
"702","LA","MN",4
"703","LA","MO",86
"704","LA","MS",47
"705","LA","MT",48
"706","LA","NC",48
"707","LA","ND",44
"708","LA","NE",67
"709","LA","NH",65
"710","LA","NJ",55
"711","LA","NM",55
"712","LA","NV",75
"713","LA","NY",64
"714","LA","OH",54
"715","LA","OK",75
"716","LA","OR",5
"717","LA","PA",19
"718","LA","RI",55
"719","LA","SC",119
"720","LA","SD",44
"721","LA","TN",90
"722","LA","TX",44
"723","LA","UT",66
"724","LA","VA",132
"725","LA","VT",49
"726","LA","WA",5
"727","LA","WI",44
"728","LA","WV",43
"729","LA","WY",115
"730","MA","MD",83
"731","MA","ME",71
"732","MA","MI",192
"733","MA","MN",98
"734","MA","MO",43
"735","MA","MS",116
"736","MA","MT",6
"737","MA","NC",100
"738","MA","ND",2
"739","MA","NE",98
"740","MA","NH",86
"741","MA","NJ",204
"742","MA","NM",106
"743","MA","NV",121
"744","MA","NY",28
"745","MA","OH",105
"746","MA","OK",33
"747","MA","OR",125
"748","MA","PA",28
"749","MA","RI",150
"750","MA","SC",2
"751","MA","SD",2
"752","MA","TN",61
"753","MA","TX",6
"754","MA","UT",5
"755","MA","VA",75
"756","MA","VT",132
"757","MA","WA",94
"758","MA","WI",2
"759","MA","WV",71
"760","MA","WY",54
"761","MD","ME",76
"762","MD","MI",30
"763","MD","MN",30
"764","MD","MO",249
"765","MD","MS",64
"766","MD","MT",169
"767","MD","NC",74
"768","MD","ND",207
"769","MD","NE",117
"770","MD","NH",280
"771","MD","NJ",67
"772","MD","NM",85
"773","MD","NV",29
"774","MD","NY",26
"775","MD","OH",82
"776","MD","OK",238
"777","MD","OR",4
"778","MD","PA",2
"779","MD","RI",73
"780","MD","SC",56
"781","MD","SD",207
"782","MD","TN",255
"783","MD","TX",24
"784","MD","UT",80
"785","MD","VA",75
"786","MD","VT",55
"787","MD","WA",23
"788","MD","WI",197
"789","MD","WV",43
"790","MD","WY",58
"791","ME","MI",13
"792","ME","MN",26
"793","ME","MO",49
"794","ME","MS",69
"795","ME","MT",11
"796","ME","NC",66
"797","ME","ND",7
"798","ME","NE",68
"799","ME","NH",77
"800","ME","NJ",67
"801","ME","NM",79
"802","ME","NV",156
"803","ME","NY",178
"804","ME","OH",71
"805","ME","OK",38
"806","ME","OR",1
"807","ME","PA",7
"808","ME","RI",78
"809","ME","SC",7
"810","ME","SD",7
"811","ME","TN",67
"812","ME","TX",7
"813","ME","UT",142
"814","ME","VA",99
"815","ME","VT",49
"816","ME","WA",11
"817","ME","WI",6
"818","ME","WV",48
"819","ME","WY",208
"820","MI","MN",115
"821","MI","MO",5
"822","MI","MS",58
"823","MI","MT",35
"824","MI","NC",73
"825","MI","ND",5
"826","MI","NE",76
"827","MI","NH",31
"828","MI","NJ",158
"829","MI","NM",73
"830","MI","NV",138
"831","MI","NY",92
"832","MI","OH",78
"833","MI","OK",5
"834","MI","OR",185
"835","MI","PA",45
"836","MI","RI",56
"837","MI","SC",2
"838","MI","SD",5
"839","MI","TN",6
"840","MI","TX",31
"841","MI","UT",37
"842","MI","VA",17
"843","MI","VT",71
"844","MI","WA",177
"845","MI","WI",55
"846","MI","WV",2
"847","MI","WY",2
"848","MN","MO",21
"849","MN","MS",55
"850","MN","MT",29
"851","MN","NC",124
"852","MN","ND",63
"853","MN","NE",154
"854","MN","NH",46
"855","MN","NJ",56
"856","MN","NM",196
"857","MN","NV",71
"858","MN","NY",25
"859","MN","OH",192
"860","MN","OK",32
"861","MN","OR",14
"862","MN","PA",21
"863","MN","RI",92
"864","MN","SC",63
"865","MN","SD",63
"866","MN","TN",21
"867","MN","TX",204
"868","MN","UT",21
"869","MN","VA",27
"870","MN","VT",44
"871","MN","WA",222
"872","MN","WI",16
"873","MN","WV",13
"874","MN","WY",11
"875","MO","MS",46
"876","MO","MT",216
"877","MO","NC",38
"878","MO","ND",254
"879","MO","NE",90
"880","MO","NH",253
"881","MO","NJ",47
"882","MO","NM",47
"883","MO","NV",19
"884","MO","NY",1
"885","MO","OH",43
"886","MO","OK",285
"887","MO","OR",1
"888","MO","PA",12
"889","MO","RI",53
"890","MO","SC",103
"891","MO","SD",254
"892","MO","TN",266
"893","MO","TX",71
"894","MO","UT",80
"895","MO","VA",45
"896","MO","VT",44
"897","MO","WA",2
"898","MO","WI",229
"899","MO","WV",53
"900","MO","WY",51
"901","MS","MT",18
"902","MS","NC",146
"903","MS","ND",20
"904","MS","NE",110
"905","MS","NH",74
"906","MS","NJ",109
"907","MS","NM",120
"908","MS","NV",33
"909","MS","NY",22
"910","MS","OH",116
"911","MS","OK",37
"912","MS","OR",82
"913","MS","PA",118
"914","MS","RI",156
"915","MS","SC",20
"916","MS","SD",20
"917","MS","TN",76
"918","MS","TX",73
"919","MS","UT",6
"920","MS","VA",93
"921","MS","VT",136
"922","MS","WA",27
"923","MS","WI",6
"924","MS","WV",150
"925","MS","WY",87
"926","MT","NC",3
"927","MT","ND",220
"928","MT","NE",50
"929","MT","NH",173
"930","MT","NJ",9
"931","MT","NM",9
"932","MT","NV",44
"933","MT","NY",31
"934","MT","OH",5
"935","MT","OK",224
"936","MT","OR",31
"937","MT","PA",61
"938","MT","RI",15
"939","MT","SC",111
"940","MT","SD",220
"941","MT","TN",198
"942","MT","TX",79
"943","MT","UT",67
"944","MT","VA",32
"945","MT","VT",6
"946","MT","WA",32
"947","MT","WI",217
"948","MT","WV",18
"949","MT","WY",28
"950","NC","ND",3
"951","NC","NE",200
"952","NC","NH",81
"953","NC","NJ",56
"954","NC","NM",213
"955","NC","NV",24
"956","NC","NY",25
"957","NC","OH",211
"958","NC","OK",28
"959","NC","OR",30
"960","NC","PA",93
"961","NC","RI",128
"962","NC","SC",3
"963","NC","SD",3
"964","NC","TN",68
"965","NC","TX",116
"966","NC","UT",3
"967","NC","VA",97
"968","NC","VT",109
"969","NC","WA",110
"970","NC","WI",3
"971","NC","WV",149
"972","NC","WY",72
"973","ND","NE",66
"974","ND","NH",211
"975","ND","NJ",5
"976","ND","NM",5
"977","ND","NV",13
"978","ND","NY",1
"979","ND","OH",1
"980","ND","OK",265
"981","ND","OR",1
"982","ND","PA",21
"983","ND","RI",11
"984","ND","SC",145
"985","ND","SD",296
"986","ND","TN",224
"987","ND","TX",113
"988","ND","UT",76
"989","ND","VA",4
"990","ND","VT",2
"991","ND","WA",2
"992","ND","WI",229
"993","ND","WV",13
"994","ND","WY",9
"995","NE","NH",133
"996","NE","NJ",56
"997","NE","NM",214
"998","NE","NV",33
"999","NE","NY",25
"1000","NE","OH",210
"1001","NE","OK",81
"1002","NE","OR",22
"1003","NE","PA",33
"1004","NE","RI",80
"1005","NE","SC",42
"1006","NE","SD",66
"1007","NE","TN",104
"1008","NE","TX",138
"1009","NE","UT",18
"1010","NE","VA",100
"1011","NE","VT",37
"1012","NE","WA",122
"1013","NE","WI",43
"1014","NE","WV",79
"1015","NE","WY",68
"1016","NH","NJ",65
"1017","NH","NM",90
"1018","NH","NV",39
"1019","NH","NY",25
"1020","NH","OH",86
"1021","NH","OK",242
"1022","NH","OR",1
"1023","NH","PA",12
"1024","NH","RI",81
