"","from","to","stay_at_home_orders_overLap","width","title"
"197","CA","IA",204,2.04,"204 days shared in 2020"
"198","CA","ID",85,0.85,"85 days shared in 2020"
"199","CA","IL",247,2.47,"247 days shared in 2020"
"200","CA","IN",245,2.45,"245 days shared in 2020"
"201","CA","KS",49,0.49,"49 days shared in 2020"
"202","CA","KY",204,2.04,"204 days shared in 2020"
"203","CA","LA",254,2.54,"254 days shared in 2020"
"204","CA","MA",178,1.78,"178 days shared in 2020"
"205","CA","MD",51,0.51,"51 days shared in 2020"
"206","CA","ME",244,2.44,"244 days shared in 2020"
"207","CA","MI",57,0.57,"57 days shared in 2020"
"208","CA","MN",250,2.5,"250 days shared in 2020"
"209","CA","MO",63,0.63,"63 days shared in 2020"
"210","CA","MS",165,1.65,"165 days shared in 2020"
"211","CA","MT",221,2.21,"221 days shared in 2020"
"212","CA","NC",245,2.45,"245 days shared in 2020"
"213","CA","ND",8,0.08,"8 days shared in 2020"
"214","CA","NE",8,0.08,"8 days shared in 2020"
"215","CA","NH",250,2.5,"250 days shared in 2020"
"216","CA","NJ",60,0.6,"60 days shared in 2020"
"217","CA","NM",201,2.01,"201 days shared in 2020"
"218","CA","NV",243,2.43,"243 days shared in 2020"
"219","CA","NY",34,0.34,"34 days shared in 2020"
"220","CA","OH",254,2.54,"254 days shared in 2020"
"221","CA","OK",142,1.42,"142 days shared in 2020"
"222","CA","OR",255,2.55,"255 days shared in 2020"
"223","CA","PA",57,0.57,"57 days shared in 2020"
"224","CA","RI",246,2.46,"246 days shared in 2020"
"225","CA","SC",109,1.09,"109 days shared in 2020"
"226","CA","SD",20,0.2,"20 days shared in 2020"
"227","CA","TN",166,1.66,"166 days shared in 2020"
"228","CA","TX",204,2.04,"204 days shared in 2020"
"229","CA","UT",8,0.08,"8 days shared in 2020"
"230","CA","VA",51,0.51,"51 days shared in 2020"
"231","CA","VT",253,2.53,"253 days shared in 2020"
"232","CA","WA",255,2.55,"255 days shared in 2020"
"233","CA","WI",78,0.78,"78 days shared in 2020"
"234","CA","WV",245,2.45,"245 days shared in 2020"
"235","CA","WY",8,0.08,"8 days shared in 2020"
"236","CO","CT",11,0.11,"11 days shared in 2020"
"237","CO","DE",164,1.64,"164 days shared in 2020"
"238","CO","FL",178,1.78,"178 days shared in 2020"
"239","CO","GA",36,0.36,"36 days shared in 2020"
"240","CO","HI",256,2.56,"256 days shared in 2020"
"241","CO","IA",260,2.6,"260 days shared in 2020"
"242","CO","ID",131,1.31,"131 days shared in 2020"
"243","CO","IL",255,2.55,"255 days shared in 2020"
"244","CO","IN",283,2.83,"283 days shared in 2020"
"245","CO","KS",61,0.61,"61 days shared in 2020"
"246","CO","KY",259,2.59,"259 days shared in 2020"
"247","CO","LA",271,2.71,"271 days shared in 2020"
"248","CO","MA",202,2.02,"202 days shared in 2020"
"249","CO","MD",39,0.39,"39 days shared in 2020"
"250","CO","ME",264,2.64,"264 days shared in 2020"
"251","CO","MI",41,0.41,"41 days shared in 2020"
"252","CO","MN",271,2.71,"271 days shared in 2020"
"253","CO","MO",75,0.75,"75 days shared in 2020"
"254","CO","MS",191,1.91,"191 days shared in 2020"
"255","CO","MT",247,2.47,"247 days shared in 2020"
"256","CO","NC",263,2.63,"263 days shared in 2020"
"257","CO","ND",11,0.11,"11 days shared in 2020"
"258","CO","NE",11,0.11,"11 days shared in 2020"
"259","CO","NH",270,2.7,"270 days shared in 2020"
"260","CO","NJ",38,0.38,"38 days shared in 2020"
"261","CO","NM",250,2.5,"250 days shared in 2020"
"262","CO","NV",275,2.75,"275 days shared in 2020"
"263","CO","NY",7,0.07,"7 days shared in 2020"
"264","CO","OH",271,2.71,"271 days shared in 2020"
"265","CO","OK",165,1.65,"165 days shared in 2020"
"266","CO","OR",242,2.42,"242 days shared in 2020"
"267","CO","PA",76,0.76,"76 days shared in 2020"
"268","CO","RI",278,2.78,"278 days shared in 2020"
"269","CO","SC",121,1.21,"121 days shared in 2020"
"270","CO","SD",43,0.43,"43 days shared in 2020"
"271","CO","TN",192,1.92,"192 days shared in 2020"
"272","CO","TX",260,2.6,"260 days shared in 2020"
"273","CO","UT",15,0.15,"15 days shared in 2020"
"274","CO","VA",39,0.39,"39 days shared in 2020"
"275","CO","VT",272,2.72,"272 days shared in 2020"
"276","CO","WA",263,2.63,"263 days shared in 2020"
"277","CO","WI",94,0.94,"94 days shared in 2020"
"278","CO","WV",283,2.83,"283 days shared in 2020"
"279","CO","WY",11,0.11,"11 days shared in 2020"
"280","CT","DE",110,1.1,"110 days shared in 2020"
"281","CT","FL",108,1.08,"108 days shared in 2020"
"282","CT","GA",9,0.09,"9 days shared in 2020"
"283","CT","HI",10,0.1,"10 days shared in 2020"
"284","CT","IA",43,0.43,"43 days shared in 2020"
"285","CT","ID",166,1.66,"166 days shared in 2020"
"286","CT","IL",6,0.06,"6 days shared in 2020"
"287","CT","IN",9,0.09,"9 days shared in 2020"
"288","CT","KS",235,2.35,"235 days shared in 2020"
"289","CT","KY",10,0.1,"10 days shared in 2020"
"290","CT","LA",8,0.08,"8 days shared in 2020"
"291","CT","MA",65,0.65,"65 days shared in 2020"
"292","CT","MD",248,2.48,"248 days shared in 2020"
"293","CT","ME",18,0.18,"18 days shared in 2020"
"294","CT","MI",223,2.23,"223 days shared in 2020"
"295","CT","MN",12,0.12,"12 days shared in 2020"
"296","CT","MO",221,2.21,"221 days shared in 2020"
"297","CT","MS",112,1.12,"112 days shared in 2020"
"298","CT","MT",55,0.55,"55 days shared in 2020"
"299","CT","NC",15,0.15,"15 days shared in 2020"
"300","CT","ND",292,2.92,"292 days shared in 2020"
"301","CT","NE",292,2.92,"292 days shared in 2020"
"302","CT","NH",12,0.12,"12 days shared in 2020"
"303","CT","NJ",212,2.12,"212 days shared in 2020"
"304","CT","NM",1,0.01,"1 days shared in 2020"
"305","CT","NV",16,0.16,"16 days shared in 2020"
"306","CT","NY",7,0.07,"7 days shared in 2020"
"307","CT","OH",8,0.08,"8 days shared in 2020"
"308","CT","OK",69,0.69,"69 days shared in 2020"
"309","CT","OR",37,0.37,"37 days shared in 2020"
"310","CT","PA",209,2.09,"209 days shared in 2020"
"311","CT","RI",13,0.13,"13 days shared in 2020"
"312","CT","SC",175,1.75,"175 days shared in 2020"
"313","CT","SD",222,2.22,"222 days shared in 2020"
"314","CT","TN",109,1.09,"109 days shared in 2020"
"315","CT","TX",18,0.18,"18 days shared in 2020"
"316","CT","UT",257,2.57,"257 days shared in 2020"
"317","CT","VA",246,2.46,"246 days shared in 2020"
"318","CT","VT",9,0.09,"9 days shared in 2020"
"319","CT","WA",8,0.08,"8 days shared in 2020"
"320","CT","WI",191,1.91,"191 days shared in 2020"
"321","CT","WV",9,0.09,"9 days shared in 2020"
"322","CT","WY",292,2.92,"292 days shared in 2020"
"323","DE","FL",225,2.25,"225 days shared in 2020"
"324","DE","GA",33,0.33,"33 days shared in 2020"
"325","DE","HI",180,1.8,"180 days shared in 2020"
"326","DE","IA",132,1.32,"132 days shared in 2020"
"327","DE","ID",155,1.55,"155 days shared in 2020"
"328","DE","IL",181,1.81,"181 days shared in 2020"
"329","DE","IN",173,1.73,"173 days shared in 2020"
"330","DE","KS",149,1.49,"149 days shared in 2020"
"331","DE","KY",132,1.32,"132 days shared in 2020"
"332","DE","LA",183,1.83,"183 days shared in 2020"
"333","DE","MA",152,1.52,"152 days shared in 2020"
"334","DE","MD",154,1.54,"154 days shared in 2020"
"335","DE","ME",178,1.78,"178 days shared in 2020"
"336","DE","MI",168,1.68,"168 days shared in 2020"
"337","DE","MN",183,1.83,"183 days shared in 2020"
"338","DE","MO",163,1.63,"163 days shared in 2020"
"339","DE","MS",213,2.13,"213 days shared in 2020"
"340","DE","MT",167,1.67,"167 days shared in 2020"
"341","DE","NC",185,1.85,"185 days shared in 2020"
"342","DE","ND",110,1.1,"110 days shared in 2020"
"343","DE","NE",110,1.1,"110 days shared in 2020"
"344","DE","NH",184,1.84,"184 days shared in 2020"
"345","DE","NJ",166,1.66,"166 days shared in 2020"
"346","DE","NM",124,1.24,"124 days shared in 2020"
"347","DE","NV",171,1.71,"171 days shared in 2020"
"348","DE","NY",7,0.07,"7 days shared in 2020"
"349","DE","OH",183,1.83,"183 days shared in 2020"
"350","DE","OK",76,0.76,"76 days shared in 2020"
"351","DE","OR",176,1.76,"176 days shared in 2020"
"352","DE","PA",144,1.44,"144 days shared in 2020"
"353","DE","RI",174,1.74,"174 days shared in 2020"
"354","DE","SC",209,2.09,"209 days shared in 2020"
"355","DE","SD",119,1.19,"119 days shared in 2020"
"356","DE","TN",214,2.14,"214 days shared in 2020"
"357","DE","TX",132,1.32,"132 days shared in 2020"
"358","DE","UT",110,1.1,"110 days shared in 2020"
"359","DE","VA",156,1.56,"156 days shared in 2020"
"360","DE","VT",184,1.84,"184 days shared in 2020"
"361","DE","WA",175,1.75,"175 days shared in 2020"
"362","DE","WI",143,1.43,"143 days shared in 2020"
"363","DE","WV",173,1.73,"173 days shared in 2020"
"364","DE","WY",110,1.1,"110 days shared in 2020"
"365","FL","GA",33,0.33,"33 days shared in 2020"
"366","FL","HI",157,1.57,"157 days shared in 2020"
"367","FL","IA",154,1.54,"154 days shared in 2020"
"368","FL","ID",126,1.26,"126 days shared in 2020"
"369","FL","IL",156,1.56,"156 days shared in 2020"
"370","FL","IN",184,1.84,"184 days shared in 2020"
"371","FL","KS",161,1.61,"161 days shared in 2020"
"372","FL","KY",163,1.63,"163 days shared in 2020"
"373","FL","LA",172,1.72,"172 days shared in 2020"
"374","FL","MA",218,2.18,"218 days shared in 2020"
"375","FL","MD",139,1.39,"139 days shared in 2020"
"376","FL","ME",171,1.71,"171 days shared in 2020"
"377","FL","MI",138,1.38,"138 days shared in 2020"
"378","FL","MN",172,1.72,"172 days shared in 2020"
"379","FL","MO",179,1.79,"179 days shared in 2020"
"380","FL","MS",271,2.71,"271 days shared in 2020"
"381","FL","MT",219,2.19,"219 days shared in 2020"
"382","FL","NC",167,1.67,"167 days shared in 2020"
"383","FL","ND",108,1.08,"108 days shared in 2020"
"384","FL","NE",108,1.08,"108 days shared in 2020"
"385","FL","NH",171,1.71,"171 days shared in 2020"
"386","FL","NJ",135,1.35,"135 days shared in 2020"
"387","FL","NM",154,1.54,"154 days shared in 2020"
"388","FL","NV",180,1.8,"180 days shared in 2020"
"389","FL","NY",7,0.07,"7 days shared in 2020"
"390","FL","OH",172,1.72,"172 days shared in 2020"
"391","FL","OK",67,0.67,"67 days shared in 2020"
"392","FL","OR",201,2.01,"201 days shared in 2020"
"393","FL","PA",100,1,"100 days shared in 2020"
"394","FL","RI",180,1.8,"180 days shared in 2020"
"395","FL","SC",225,2.25,"225 days shared in 2020"
"396","FL","SD",143,1.43,"143 days shared in 2020"
"397","FL","TN",273,2.73,"273 days shared in 2020"
"398","FL","TX",155,1.55,"155 days shared in 2020"
"399","FL","UT",115,1.15,"115 days shared in 2020"
"400","FL","VA",139,1.39,"139 days shared in 2020"
"401","FL","VT",173,1.73,"173 days shared in 2020"
"402","FL","WA",164,1.64,"164 days shared in 2020"
"403","FL","WI",87,0.87,"87 days shared in 2020"
"404","FL","WV",184,1.84,"184 days shared in 2020"
"405","FL","WY",108,1.08,"108 days shared in 2020"
"406","GA","HI",33,0.33,"33 days shared in 2020"
"407","GA","IA",12,0.12,"12 days shared in 2020"
"408","GA","ID",33,0.33,"33 days shared in 2020"
"409","GA","IL",30,0.3,"30 days shared in 2020"
"410","GA","IN",33,0.33,"33 days shared in 2020"
"411","GA","KS",33,0.33,"33 days shared in 2020"
"412","GA","KY",12,0.12,"12 days shared in 2020"
"413","GA","LA",32,0.32,"32 days shared in 2020"
"414","GA","MA",12,0.12,"12 days shared in 2020"
"415","GA","MD",33,0.33,"33 days shared in 2020"
"416","GA","ME",33,0.33,"33 days shared in 2020"
"417","GA","MI",44,0.44,"44 days shared in 2020"
"418","GA","MN",33,0.33,"33 days shared in 2020"
"419","GA","MO",30,0.3,"30 days shared in 2020"
"420","GA","MS",36,0.36,"36 days shared in 2020"
"421","GA","MT",35,0.35,"35 days shared in 2020"
"422","GA","NC",33,0.33,"33 days shared in 2020"
"423","GA","ND",9,0.09,"9 days shared in 2020"
"424","GA","NE",9,0.09,"9 days shared in 2020"
"425","GA","NH",33,0.33,"33 days shared in 2020"
"426","GA","NJ",30,0.3,"30 days shared in 2020"
"427","GA","NM",4,0.04,"4 days shared in 2020"
"428","GA","NV",33,0.33,"33 days shared in 2020"
"429","GA","NY",263,2.63,"263 days shared in 2020"
"430","GA","OH",32,0.32,"32 days shared in 2020"
"431","GA","OK",49,0.49,"49 days shared in 2020"
"432","GA","OR",32,0.32,"32 days shared in 2020"
"433","GA","PA",40,0.4,"40 days shared in 2020"
"434","GA","RI",33,0.33,"33 days shared in 2020"
"435","GA","SC",29,0.29,"29 days shared in 2020"
"436","GA","SD",11,0.11,"11 days shared in 2020"
"437","GA","TN",36,0.36,"36 days shared in 2020"
"438","GA","TX",12,0.12,"12 days shared in 2020"
"439","GA","UT",12,0.12,"12 days shared in 2020"
"440","GA","VA",33,0.33,"33 days shared in 2020"
"441","GA","VT",33,0.33,"33 days shared in 2020"
"442","GA","WA",47,0.47,"47 days shared in 2020"
"443","GA","WI",33,0.33,"33 days shared in 2020"
"444","GA","WV",33,0.33,"33 days shared in 2020"
"445","GA","WY",9,0.09,"9 days shared in 2020"
"446","HI","IA",224,2.24,"224 days shared in 2020"
"447","HI","ID",105,1.05,"105 days shared in 2020"
"448","HI","IL",285,2.85,"285 days shared in 2020"
"449","HI","IN",263,2.63,"263 days shared in 2020"
"450","HI","KS",45,0.45,"45 days shared in 2020"
"451","HI","KY",224,2.24,"224 days shared in 2020"
"452","HI","LA",273,2.73,"273 days shared in 2020"
"453","HI","MA",167,1.67,"167 days shared in 2020"
"454","HI","MD",54,0.54,"54 days shared in 2020"
"455","HI","ME",270,2.7,"270 days shared in 2020"
"456","HI","MI",66,0.66,"66 days shared in 2020"
"457","HI","MN",275,2.75,"275 days shared in 2020"
"458","HI","MO",53,0.53,"53 days shared in 2020"
"459","HI","MS",155,1.55,"155 days shared in 2020"
"460","HI","MT",211,2.11,"211 days shared in 2020"
"461","HI","NC",277,2.77,"277 days shared in 2020"
"462","HI","ND",10,0.1,"10 days shared in 2020"
"463","HI","NE",10,0.1,"10 days shared in 2020"
"464","HI","NH",276,2.76,"276 days shared in 2020"
"465","HI","NJ",74,0.74,"74 days shared in 2020"
"466","HI","NM",215,2.15,"215 days shared in 2020"
"467","HI","NV",263,2.63,"263 days shared in 2020"
"468","HI","NY",7,0.07,"7 days shared in 2020"
"469","HI","OH",273,2.73,"273 days shared in 2020"
"470","HI","OK",163,1.63,"163 days shared in 2020"
"471","HI","OR",244,2.44,"244 days shared in 2020"
"472","HI","PA",86,0.86,"86 days shared in 2020"
"473","HI","RI",266,2.66,"266 days shared in 2020"
"474","HI","SC",99,0.99,"99 days shared in 2020"
"475","HI","SD",8,0.08,"8 days shared in 2020"
"476","HI","TN",156,1.56,"156 days shared in 2020"
"477","HI","TX",224,2.24,"224 days shared in 2020"
"478","HI","UT",10,0.1,"10 days shared in 2020"
"479","HI","VA",56,0.56,"56 days shared in 2020"
"480","HI","VT",274,2.74,"274 days shared in 2020"
"481","HI","WA",266,2.66,"266 days shared in 2020"
"482","HI","WI",111,1.11,"111 days shared in 2020"
"483","HI","WV",263,2.63,"263 days shared in 2020"
"484","HI","WY",10,0.1,"10 days shared in 2020"
"485","IA","ID",99,0.99,"99 days shared in 2020"
"486","IA","IL",223,2.23,"223 days shared in 2020"
"487","IA","IN",251,2.51,"251 days shared in 2020"
"488","IA","KS",37,0.37,"37 days shared in 2020"
"489","IA","KY",259,2.59,"259 days shared in 2020"
"490","IA","LA",239,2.39,"239 days shared in 2020"
"491","IA","MA",202,2.02,"202 days shared in 2020"
"492","IA","MD",15,0.15,"15 days shared in 2020"
"493","IA","ME",246,2.46,"246 days shared in 2020"
"494","IA","MI",9,0.09,"9 days shared in 2020"
"495","IA","MN",241,2.41,"241 days shared in 2020"
"496","IA","MO",65,0.65,"65 days shared in 2020"
"497","IA","MS",175,1.75,"175 days shared in 2020"
"498","IA","MT",220,2.2,"220 days shared in 2020"
"499","IA","NC",239,2.39,"239 days shared in 2020"
"500","IA","ND",43,0.43,"43 days shared in 2020"
"501","IA","NE",43,0.43,"43 days shared in 2020"
"502","IA","NH",240,2.4,"240 days shared in 2020"
"503","IA","NJ",6,0.06,"6 days shared in 2020"
"504","IA","NM",250,2.5,"250 days shared in 2020"
"505","IA","NV",253,2.53,"253 days shared in 2020"
"506","IA","NY",7,0.07,"7 days shared in 2020"
"507","IA","OH",239,2.39,"239 days shared in 2020"
"508","IA","OK",165,1.65,"165 days shared in 2020"
"509","IA","OR",210,2.1,"210 days shared in 2020"
"510","IA","PA",56,0.56,"56 days shared in 2020"
"511","IA","RI",250,2.5,"250 days shared in 2020"
"512","IA","SC",113,1.13,"113 days shared in 2020"
