"","from","to","gathering_bans_overLap","width","title"
"321","CT","WV",126,1.26,"126 days shared in 2020"
"322","CT","WY",51,0.51,"51 days shared in 2020"
"323","DE","FL",198,1.98,"198 days shared in 2020"
"324","DE","GA",79,0.79,"79 days shared in 2020"
"325","DE","HI",79,0.79,"79 days shared in 2020"
"326","DE","IA",188,1.88,"188 days shared in 2020"
"327","DE","ID",178,1.78,"178 days shared in 2020"
"328","DE","IL",118,1.18,"118 days shared in 2020"
"329","DE","IN",48,0.48,"48 days shared in 2020"
"330","DE","KS",224,2.24,"224 days shared in 2020"
"331","DE","KY",29,0.29,"29 days shared in 2020"
"332","DE","LA",56,0.56,"56 days shared in 2020"
"333","DE","MA",115,1.15,"115 days shared in 2020"
"334","DE","MD",235,2.35,"235 days shared in 2020"
"335","DE","ME",65,0.65,"65 days shared in 2020"
"336","DE","MI",76,0.76,"76 days shared in 2020"
"337","DE","MN",77,0.77,"77 days shared in 2020"
"338","DE","MO",198,1.98,"198 days shared in 2020"
"339","DE","MS",65,0.65,"65 days shared in 2020"
"340","DE","MT",163,1.63,"163 days shared in 2020"
"341","DE","NC",82,0.82,"82 days shared in 2020"
"342","DE","ND",166,1.66,"166 days shared in 2020"
"343","DE","NE",116,1.16,"116 days shared in 2020"
"344","DE","NH",239,2.39,"239 days shared in 2020"
"345","DE","NJ",99,0.99,"99 days shared in 2020"
"346","DE","NM",79,0.79,"79 days shared in 2020"
"347","DE","NV",64,0.64,"64 days shared in 2020"
"348","DE","NY",32,0.32,"32 days shared in 2020"
"349","DE","OH",81,0.81,"81 days shared in 2020"
"350","DE","OK",188,1.88,"188 days shared in 2020"
"351","DE","OR",11,0.11,"11 days shared in 2020"
"352","DE","PA",5,0.05,"5 days shared in 2020"
"353","DE","RI",104,1.04,"104 days shared in 2020"
"354","DE","SC",54,0.54,"54 days shared in 2020"
"355","DE","SD",166,1.66,"166 days shared in 2020"
"356","DE","TN",216,2.16,"216 days shared in 2020"
"357","DE","TX",22,0.22,"22 days shared in 2020"
"358","DE","UT",36,0.36,"36 days shared in 2020"
"359","DE","VA",68,0.68,"68 days shared in 2020"
"360","DE","VT",79,0.79,"79 days shared in 2020"
"361","DE","WA",64,0.64,"64 days shared in 2020"
"362","DE","WI",156,1.56,"156 days shared in 2020"
"363","DE","WV",37,0.37,"37 days shared in 2020"
"364","DE","WY",48,0.48,"48 days shared in 2020"
"365","FL","GA",45,0.45,"45 days shared in 2020"
"366","FL","HI",46,0.46,"46 days shared in 2020"
"367","FL","IA",183,1.83,"183 days shared in 2020"
"368","FL","ID",161,1.61,"161 days shared in 2020"
"369","FL","IL",34,0.34,"34 days shared in 2020"
"370","FL","IN",13,0.13,"13 days shared in 2020"
"371","FL","KS",234,2.34,"234 days shared in 2020"
"372","FL","KY",41,0.41,"41 days shared in 2020"
"373","FL","LA",34,0.34,"34 days shared in 2020"
"374","FL","MA",34,0.34,"34 days shared in 2020"
"375","FL","MD",239,2.39,"239 days shared in 2020"
"376","FL","ME",35,0.35,"35 days shared in 2020"
"377","FL","MI",20,0.2,"20 days shared in 2020"
"378","FL","MN",77,0.77,"77 days shared in 2020"
"379","FL","MO",222,2.22,"222 days shared in 2020"
"380","FL","MS",48,0.48,"48 days shared in 2020"
"381","FL","MT",188,1.88,"188 days shared in 2020"
"382","FL","NC",35,0.35,"35 days shared in 2020"
"383","FL","ND",264,2.64,"264 days shared in 2020"
"384","FL","NE",98,0.98,"98 days shared in 2020"
"385","FL","NH",243,2.43,"243 days shared in 2020"
"386","FL","NJ",23,0.23,"23 days shared in 2020"
"387","FL","NM",37,0.37,"37 days shared in 2020"
"388","FL","NV",33,0.33,"33 days shared in 2020"
"389","FL","NY",15,0.15,"15 days shared in 2020"
"390","FL","OH",33,0.33,"33 days shared in 2020"
"391","FL","OK",233,2.33,"233 days shared in 2020"
"392","FL","OR",1,0.01,"1 days shared in 2020"
"393","FL","PA",21,0.21,"21 days shared in 2020"
"394","FL","RI",39,0.39,"39 days shared in 2020"
"395","FL","SC",113,1.13,"113 days shared in 2020"
"396","FL","SD",264,2.64,"264 days shared in 2020"
"397","FL","TN",228,2.28,"228 days shared in 2020"
"398","FL","TX",81,0.81,"81 days shared in 2020"
"399","FL","UT",76,0.76,"76 days shared in 2020"
"400","FL","VA",36,0.36,"36 days shared in 2020"
"401","FL","VT",4,0.04,"4 days shared in 2020"
"402","FL","WA",15,0.15,"15 days shared in 2020"
"403","FL","WI",206,2.06,"206 days shared in 2020"
"404","FL","WV",13,0.13,"13 days shared in 2020"
"405","FL","WY",20,0.2,"20 days shared in 2020"
"406","GA","HI",96,0.96,"96 days shared in 2020"
"407","GA","IA",73,0.73,"73 days shared in 2020"
"408","GA","ID",13,0.13,"13 days shared in 2020"
"409","GA","IL",214,2.14,"214 days shared in 2020"
"410","GA","IN",26,0.26,"26 days shared in 2020"
"411","GA","KS",64,0.64,"64 days shared in 2020"
"412","GA","KY",54,0.54,"54 days shared in 2020"
"413","GA","LA",114,1.14,"114 days shared in 2020"
"414","GA","MA",86,0.86,"86 days shared in 2020"
"415","GA","MD",80,0.8,"80 days shared in 2020"
"416","GA","ME",253,2.53,"253 days shared in 2020"
"417","GA","MI",28,0.28,"28 days shared in 2020"
"418","GA","MN",47,0.47,"47 days shared in 2020"
"419","GA","MO",53,0.53,"53 days shared in 2020"
"420","GA","MS",75,0.75,"75 days shared in 2020"
"421","GA","MT",17,0.17,"17 days shared in 2020"
"422","GA","NC",81,0.81,"81 days shared in 2020"
"423","GA","ND",13,0.13,"13 days shared in 2020"
"424","GA","NE",89,0.89,"89 days shared in 2020"
"425","GA","NH",96,0.96,"96 days shared in 2020"
"426","GA","NJ",64,0.64,"64 days shared in 2020"
"427","GA","NM",89,0.89,"89 days shared in 2020"
"428","GA","NV",147,1.47,"147 days shared in 2020"
"429","GA","NY",214,2.14,"214 days shared in 2020"
"430","GA","OH",85,0.85,"85 days shared in 2020"
"431","GA","OK",44,0.44,"44 days shared in 2020"
"432","GA","OR",1,0.01,"1 days shared in 2020"
"433","GA","PA",13,0.13,"13 days shared in 2020"
"434","GA","RI",80,0.8,"80 days shared in 2020"
"435","GA","SC",13,0.13,"13 days shared in 2020"
"436","GA","SD",13,0.13,"13 days shared in 2020"
"437","GA","TN",71,0.71,"71 days shared in 2020"
"438","GA","TX",13,0.13,"13 days shared in 2020"
"439","GA","UT",123,1.23,"123 days shared in 2020"
"440","GA","VA",92,0.92,"92 days shared in 2020"
"441","GA","VT",45,0.45,"45 days shared in 2020"
"442","GA","WA",26,0.26,"26 days shared in 2020"
"443","GA","WI",6,0.06,"6 days shared in 2020"
"444","GA","WV",54,0.54,"54 days shared in 2020"
"445","GA","WY",222,2.22,"222 days shared in 2020"
"446","HI","IA",121,1.21,"121 days shared in 2020"
"447","HI","ID",14,0.14,"14 days shared in 2020"
"448","HI","IL",95,0.95,"95 days shared in 2020"
"449","HI","IN",47,0.47,"47 days shared in 2020"
"450","HI","KS",64,0.64,"64 days shared in 2020"
"451","HI","KY",170,1.7,"170 days shared in 2020"
"452","HI","LA",53,0.53,"53 days shared in 2020"
"453","HI","MA",115,1.15,"115 days shared in 2020"
"454","HI","MD",79,0.79,"79 days shared in 2020"
"455","HI","ME",75,0.75,"75 days shared in 2020"
"456","HI","MI",93,0.93,"93 days shared in 2020"
"457","HI","MN",183,1.83,"183 days shared in 2020"
"458","HI","MO",52,0.52,"52 days shared in 2020"
"459","HI","MS",151,1.51,"151 days shared in 2020"
"460","HI","MT",16,0.16,"16 days shared in 2020"
"461","HI","NC",188,1.88,"188 days shared in 2020"
"462","HI","ND",14,0.14,"14 days shared in 2020"
"463","HI","NE",201,2.01,"201 days shared in 2020"
"464","HI","NH",95,0.95,"95 days shared in 2020"
"465","HI","NJ",85,0.85,"85 days shared in 2020"
"466","HI","NM",265,2.65,"265 days shared in 2020"
"467","HI","NV",39,0.39,"39 days shared in 2020"
"468","HI","NY",25,0.25,"25 days shared in 2020"
"469","HI","OH",261,2.61,"261 days shared in 2020"
"470","HI","OK",43,0.43,"43 days shared in 2020"
"471","HI","OR",52,0.52,"52 days shared in 2020"
"472","HI","PA",34,0.34,"34 days shared in 2020"
"473","HI","RI",99,0.99,"99 days shared in 2020"
"474","HI","SC",14,0.14,"14 days shared in 2020"
"475","HI","SD",14,0.14,"14 days shared in 2020"
"476","HI","TN",82,0.82,"82 days shared in 2020"
"477","HI","TX",175,1.75,"175 days shared in 2020"
"478","HI","UT",23,0.23,"23 days shared in 2020"
"479","HI","VA",94,0.94,"94 days shared in 2020"
"480","HI","VT",44,0.44,"44 days shared in 2020"
"481","HI","WA",158,1.58,"158 days shared in 2020"
"482","HI","WI",16,0.16,"16 days shared in 2020"
"483","HI","WV",94,0.94,"94 days shared in 2020"
"484","HI","WY",83,0.83,"83 days shared in 2020"
"485","IA","ID",151,1.51,"151 days shared in 2020"
"486","IA","IL",65,0.65,"65 days shared in 2020"
"487","IA","IN",17,0.17,"17 days shared in 2020"
"488","IA","KS",193,1.93,"193 days shared in 2020"
"489","IA","KY",50,0.5,"50 days shared in 2020"
"490","IA","LA",70,0.7,"70 days shared in 2020"
"491","IA","MA",62,0.62,"62 days shared in 2020"
"492","IA","MD",190,1.9,"190 days shared in 2020"
"493","IA","ME",67,0.67,"67 days shared in 2020"
"494","IA","MI",16,0.16,"16 days shared in 2020"
"495","IA","MN",73,0.73,"73 days shared in 2020"
"496","IA","MO",181,1.81,"181 days shared in 2020"
"497","IA","MS",103,1.03,"103 days shared in 2020"
"498","IA","MT",177,1.77,"177 days shared in 2020"
"499","IA","NC",82,0.82,"82 days shared in 2020"
"500","IA","ND",159,1.59,"159 days shared in 2020"
"501","IA","NE",126,1.26,"126 days shared in 2020"
"502","IA","NH",194,1.94,"194 days shared in 2020"
"503","IA","NJ",55,0.55,"55 days shared in 2020"
"504","IA","NM",112,1.12,"112 days shared in 2020"
"505","IA","NV",33,0.33,"33 days shared in 2020"
"506","IA","NY",11,0.11,"11 days shared in 2020"
"507","IA","OH",108,1.08,"108 days shared in 2020"
"508","IA","OK",172,1.72,"172 days shared in 2020"
"509","IA","OR",16,0.16,"16 days shared in 2020"
"510","IA","PA",61,0.61,"61 days shared in 2020"
"511","IA","RI",89,0.89,"89 days shared in 2020"
"512","IA","SC",85,0.85,"85 days shared in 2020"
